Index,date Creation,date Actualisation,Offres d'emploi,Missions,Types de contrat,Lieu de travail,Entreprise,Qualifications
36,2023-04-19T13:29:24.000Z,2023-04-23T17:56:06.000Z,CHEF DE PROJET AUTOMATISME ET INFORMATIQUE INDUSTRIELLE H/F (H/F),"Rattaché au responsable Automatisme et Informatique Industrielle, vous participez au plan de progrès des usines en apportant votre expertise métier auprès des services production, travaux neufs et maintenance. Vous menez également des projets d'inspection visuelle, d'automatismes et d'informatique industrielle. Vous travaillez régulièrement en mode transverse, avec des équipiers d'autres services et avez un lien fonctionnel avec le département IT.

Missions et activités spécifiques
- Contribuer à la définition de la stratégie d'inspection visuelle permettant d'effectuer les contrôles qualités sur différents produits (seringues, flacons ) sur l'ensemble des sites de production. 
- Mettre en place de nouveaux équipements de mirage automatique en intégrant l'équipe projet. Vous déterminez les paramètres de l'équipement permettant de répondre aux exigences réglementaires et de validations.
- Développer l'expertise technique au sein de votre entité. 
- Participer au déploiement de la stratégie Data Integrity (connexion et sécurisation réseaux, gestion des accès ) sur le parc machines existant ainsi que sur les nouveaux équipements. 
- Gestion de projets 
- Participer au déploiement, au maintien ainsi qu'aux évolutions réglementaires de la sérialisation et agrégation sur les lignes des sites de production.
- Assurer la conception et/ou modification de programmes d'automates et de supervisions : analyses fonctionnelles, études, développement des programmes.
- Participer aux investigations et à l'amélioration du fonctionnement des équipements avec votre expertise AII.
- Décliner la démarche qualité de l'entreprise dans votre périmètre d'intervention : définition et formalisation des méthodes de travail.
- Assurer une veille technologique.

Qualités requises
- Rigueur, organisation et autonomie
- Goût du travail en équipe et de la proximité terrain, qualités relationnelles
- Capacité à argumenter et influer les choix techniques
- Qualités rédactionnelles
- Sens de la traçabilité des opérations, des exigences de qualité
- Esprit d'initiative et pragmatisme

Profil
- Expérience significative en milieu pharmaceutique et de la Data Integrity
- Issu d'une formation en vision industrielle, ingénieur en automatisme ou technicien (BTS MAI/CIRA ou DUT GEII) avec une expérience de 5 ans minimum sur des fonctions similaires
- Solide expérience en vision industrielle et traitement d'image (Cognex, Basler )
- Maitrise des outils de développement en automatisme (Schneider, Siemens) et supervision (Wonderware, InTouch, WinCC, Zenon...)
- Bonne connaissance des réseaux de terrain TCP/IP, Profinet 
- Bonne maitrise des infrastructures informatiques et de la virtualisation
- Connaissance de la sérialisation et agrégation
- Capacité à exploiter les P&ID et analyses fonctionnelles des processus de fabrication de l'industrie pharmaceutique
- Maîtrise de l'anglais (documentation, échanges techniques avec fournisseurs et partenaires)",CDI,"{'libelle': '69 - LYON 07', 'latitude': 45.733631, 'longitude': 4.840586, 'codePostal': '69007', 'commune': '69387'}","{'nom': 'LABORATOIRE AGUETTANT', 'entrepriseAdaptee': False}",Cadre
37,2023-04-19T11:26:08.000Z,2023-04-20T16:46:39.000Z,Chef de projet automatisme et supervision - Domaine GTB/GTC (H/F),"Résumé : 
-	Filiale d'un grand groupe français du BTP 
-	Acteur français majeur dans le domaine de la supervision industrielle
-	Clients français renommés (Assemblée Nationale, Lafarge, ADP)
-	Evolutions en interne et à travers le groupe, favorisées

La société : 
Notre client est une filiale d'un grand groupe français présent dans le secteur du BTP. L'entité française et plus précisément francilienne, est un acteur majeur, dans le cadre de l'amélioration de la performance industrielle de ses clients. 
Présents dans de nombreux domaines et plus particulièrement dans le secteur de la GTB/GTC, cette société composée de 38 personnes, est à la recherche d'un chef de projet spécialisé en supervision et automatisme afin de venir renforcer l'équipe, déjà composée de 5 chefs de projet. 

Le poste :
En collaboration étroite avec les responsables d'affaires et les équipes techniques, vous êtes le garant de la faisabilité technique et humaine, jusqu'à leur livraison, des projets dans le domaine de la GTB/GTC. Vos missions seront les suivantes : 
-	Participation avec les équipes techniques et commerciales à l'étude de la faisabilité technique du cahier des charges
-	Participation et suivi des équipes techniques lors de la réalisation du projet (architecture, développements logiciels, mises en service, installation et support)
-	Réalisation des plannings et suivi auprès des équipes
-	Vous êtes le référent technique auprès de vos clients locaux 
-	Accompagnement des équipes de techniciens lors des phases de mise en service
-	Travaille en binôme avec les chargés d'affaires en phase avant-projet (dimensionnement des automates, etc)
-	Vous réalisez la veille technologique 
-	Vous participez à l'encadrement d'apprentis 

Pourquoi rejoindre cette société ? 
-	Intervenez sur des projets modernes et connectés, de A à Z, autant sur des sujets techniques qu'humains (IA, Cybersécurité, Industrie 4.0)
-	Vous travaillerez sur des sujets variés dans le domaine industriel (pharmacie, aéronautique, agro-alimentaire, cosmétique, environnement, etc)
-	Rejoignez un grand groupe français qui favorise les parcours évolutifs en interne et au travers de ses différentes entités

Le profil recherché :
-	Vous êtes titulaire d'un diplôme en informatique industrielle ou automatisme (Ecole d'ingénieur ou université) 
-	Vous avez au minimum 5 ans d'expérience en tant que chef de projet dans le domaine de la GTB/GTC ou 8 ans en tant que développeur de logiciel de supervision
-	Des connaissances en programmation d'automates type Siemens ou Schneider est obligatoire

Compléments :
-	Lieu : Maisons-Laffitte
-	Contrat : CDI
-	Salaire : 40-50K€",CDI,"{'libelle': '78 - MAISONS LAFFITTE', 'latitude': 48.951168, 'longitude': 2.151409, 'codePostal': '78600', 'commune': '78358'}","{'nom': 'BLUEDOCKER', 'description': 'BlueDocker est une filiale du cabinet de recrutement Silkhom, spécialisée sur les métiers de l industrialisation, production, maintenance, logistique et qualité\xa0 (pas de SSII, placements directs chez nos clients en CDI). Nous travaillons exclusivement avec des clients finaux.', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/H5TV0kCjDOfFEqGnTC8WQihZzB1VFWMc.png', 'url': 'https://bluedocker.com/', 'entrepriseAdaptee': False}",Employé qualifié
38,2023-04-19T10:52:55.000Z,2023-04-19T12:29:58.000Z,Technicien en automatisme (F/H),"Vous intervenez essentiellement sur les régions Auvergne Rhône-Alpes, PACA, Bourgogne Franche-Comté au sein des différents sites de production des clients, afin de les aider à gérer leurs problématiques liées aux réseaux industriels. 
Après une formation interne de 3 mois, vos missions seront les suivantes :
- Diagnostiquer ou auditer des réseaux
- Préparer, animer, maintenir des formations réseaux
- Mettre en œuvre des équipements communicants
- Assurer l'assistance à distance pour nos clients
- Concevoir des architectures réseaux industriels 4.0
- Contribuer à la structuration et au développement de nos services

Grace à un cursus de formation continue, vous pourrez intervenir sur les réseaux suivants: ETHERNET industriel, PROFINET, Modbus/TCP, EtherNet/IP, EtherCAT, BACnet, PROFIBUS, CAN/CANopen, AS-i, Modbus, IO-link.
Ces réseaux sont généralement intégrés à des architectures SIEMENS, Schneider, Rockwell ou ABB.
Les projets peuvent concerner la cybersécurité, le WiFi industriel, l'accès à distance, le IoT.
Vos principaux interlocuteurs sont des responsables automatisme et maintenance industrielle, des chefs de projets travaux neufs.",CDI,"{'libelle': '69 - ST PRIEST', 'latitude': 45.701812, 'longitude': 4.943979, 'codePostal': '69800', 'commune': '69290'}","{'nom': 'EXPECTRA', 'description': ""Loïc est Consultant Principal pour le compte de la société Expectra, cabinet de recrutement spécialisé dans les métiers de l'ingénierie et de l'industrie. Aujourd'hui, très beau poste à pourvoir en CDI...un Technicien Réseaux Industriels H/F."", 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/l0Rt2BWxYEI1lep85WWYIHEZ2q2uSJlm.png', 'entrepriseAdaptee': False}",Technicien
39,2023-04-19T09:36:24.000Z,2023-04-21T03:40:32.000Z,ROBOTICIEN    (H/F),"PMI spécialisée dans la conception et la réalisation de machines spéciales industrielles sur mesure recherche dans le cadre de son développement son :

ROBOTICIEN (H/F)
CDI - Autry (08)

Rattaché au bureau d'études, vous réalisez les pré-études de faisabilité robotique (avec les outils de simulation des constructeurs) en collaboration avec le service commercial et les équipes projets (mécanique et automatisme).
Vos missions seront de :
-	Déterminer les moyens techniques et les nomenclatures
-	Simuler les solutions robotiques envisagées
-	Réaliser les programmations hors ligne
-	Effectuer la mise en fonctionnement et la mise au point des robots
-	Etudier et intégrer des dispositifs de vision externe 2D ou 3D dans nos applications robotiques
-	Assurer le suivi client, de la réception des machines à la mise en service

De formation dans le domaine de la robotique industrielle et/ou automatisme, vous bénéficiez d'une expérience préalable en conception d'automatisme et/ou de robot ainsi qu'en gestion de projet.
Vous connaissez les outils d'automatisme et de robotique (ROBOTS FANUC, ABB, STAUBLI et UNIVERSAL ROBOTS). Un parcours de formation et d'évolution vous sera proposé.

Votre goût pour la technicité, votre rigueur et votre esprit d'analyse seront des atouts pour réussir au sein de cette entreprise qui place l'humain au c?ur de sa stratégie.",CDI,"{'libelle': '08 - AUTRY', 'latitude': 49.268867, 'longitude': 4.829979, 'codePostal': '08250', 'commune': '08036'}","{'nom': 'ACCOMPAGNEMENT CONSEIL ET STRATEGIE', 'description': 'Cabinet de recrutement généraliste (fortement implanté dans la région Est) et de conseil en ressources humaines recherche pour le compte de son client', 'url': 'http://www.acs-rh.com', 'entrepriseAdaptee': False}",Technicien
40,2023-04-19T09:35:32.000Z,2023-04-21T03:40:32.000Z,ROBOTICIEN   (H/F),"PMI spécialisée dans la conception et la réalisation de machines spéciales industrielles sur mesure recherche dans le cadre de son développement son :

ROBOTICIEN (H/F)
CDI - Clermont en Argonne (55) 

Rattaché au bureau d'études, vous réalisez les pré-études de faisabilité robotique (avec les outils de simulation des constructeurs) en collaboration avec le service commercial et les équipes projets (mécanique et automatisme).
Vos missions seront de :
-	Déterminer les moyens techniques et les nomenclatures
-	Simuler les solutions robotiques envisagées
-	Réaliser les programmations hors ligne
-	Effectuer la mise en fonctionnement et la mise au point des robots
-	Etudier et intégrer des dispositifs de vision externe 2D ou 3D dans nos applications robotiques
-	Assurer le suivi client, de la réception des machines à la mise en service

De formation dans le domaine de la robotique industrielle et/ou automatisme, vous bénéficiez d'une expérience préalable en conception d'automatisme et/ou de robot ainsi qu'en gestion de projet.
Vous connaissez les outils d'automatisme et de robotique (ROBOTS FANUC, ABB, STAUBLI et UNIVERSAL ROBOTS). Un parcours de formation et d'évolution vous sera proposé.

Votre goût pour la technicité, votre rigueur et votre esprit d'analyse seront des atouts pour réussir au sein de cette entreprise qui place l'humain au c?ur de sa stratégie.",CDI,"{'libelle': '55 - CLERMONT EN ARGONNE', 'latitude': 49.117503, 'longitude': 5.09999, 'codePostal': '55120', 'commune': '55117'}","{'nom': 'ACCOMPAGNEMENT CONSEIL ET STRATEGIE', 'description': 'Cabinet de recrutement généraliste (fortement implanté dans la région Est) et de conseil en ressources humaines recherche pour le compte de son client', 'url': 'http://www.acs-rh.com', 'entrepriseAdaptee': False}",Technicien
41,2023-04-19T09:34:42.000Z,2023-04-21T03:40:32.000Z,ROBOTICIEN    (H/F),"PMI spécialisée dans la conception et la réalisation de machines spéciales industrielles sur mesure recherche dans le cadre de son développement son :

ROBOTICIEN (H/F)
CDI - Valmy (51)

Rattaché au bureau d'études, vous réalisez les pré-études de faisabilité robotique (avec les outils de simulation des constructeurs) en collaboration avec le service commercial et les équipes projets (mécanique et automatisme).
Vos missions seront de :
-	Déterminer les moyens techniques et les nomenclatures
-	Simuler les solutions robotiques envisagées
-	Réaliser les programmations hors ligne
-	Effectuer la mise en fonctionnement et la mise au point des robots
-	Etudier et intégrer des dispositifs de vision externe 2D ou 3D dans nos applications robotiques
-	Assurer le suivi client, de la réception des machines à la mise en service

De formation dans le domaine de la robotique industrielle et/ou automatisme, vous bénéficiez d'une expérience préalable en conception d'automatisme et/ou de robot ainsi qu'en gestion de projet.
Vous connaissez les outils d'automatisme et de robotique (ROBOTS FANUC, ABB, STAUBLI et UNIVERSAL ROBOTS). Un parcours de formation et d'évolution vous sera proposé.

Votre goût pour la technicité, votre rigueur et votre esprit d'analyse seront des atouts pour réussir au sein de cette entreprise qui place l'humain au c?ur de sa stratégie.",CDI,"{'libelle': '51 - VALMY', 'latitude': 49.081145, 'longitude': 4.768469, 'codePostal': '51800', 'commune': '51588'}","{'nom': 'ACCOMPAGNEMENT CONSEIL ET STRATEGIE', 'description': 'Cabinet de recrutement généraliste (fortement implanté dans la région Est) et de conseil en ressources humaines recherche pour le compte de son client', 'url': 'http://www.acs-rh.com', 'entrepriseAdaptee': False}",Technicien
42,2023-04-19T09:06:22.000Z,2023-05-02T14:32:10.000Z,Chef de projet - Electricité & Automatisme - H/F (H/F),"Afin de compléter notre équipe actuel spécialisé dans le domaine de l'industrie, nous recherchons : 
Un Chef de projet Technique spécialisé en électricité et automatisme - H/F 

Le chef de projet technique électricité et automatisme coordonne et pilote plusieurs projets en toute autonomie, avec comme objectifs principaux la conformité des résultats aux budgets, le respect des délais et la satisfaction des clients.

Missions : 

-Gestion du client : 
Assister le chef de projet auprès du client sur la partie électricité et automatisme) 
Documenter le client sur les aspects demandés 
Contrôler les informations 

-Gestion du planning et situation financière : 
Respecter les délais, les coûts 
Définir des solutions techniques et mesures à prendre 

-Gestion du projet/exécution :
Assurer l'étude technique en : Electricité - Instrumentation - Automatisme - Sécurité 
Rédaction du cahier des charges électricité et automatisme en respectant les conditions du client 
Réaliser certains schémas électrique sur SEE ELECTRICAL 
Définir la configuration automate process et la configuration relais de sécurité programmable et déterminer les variateurs
Superviser les dossiers techniques et le travail des fournisseurs (validation des schémas électriques...)
Assurer la documentation technique client et le suivi avec les différents intervenants interne et externe

Profil recherché : 
Vous justifiez d'une expérience entre 5 et 10 ans minimum et disposez d'une formation technique BAC + 2 orienté en électricité, électronique, automatisme, informatique industrielle et connaissance en hydraulique et chimie (ou acquis pas expérience) 

Compétences :  
Avoir déjà travaillé dans le milieu industriel (idéalement en machines spéciales) 
Connaissance de la programmation des automates (Schneider et Siemens) 
Connaissance des variateurs Danfoss et de leur paramétrage
Connaissance en gestion de projet 
Connaissance technique des équipements industriels liés au traitement de surface
Maîtrise relation client/sous-traitant/fournisseurs 
Maîtrise de la CAO électrique sous SEE Electrical
Maîtrise la lecture et la vérification des schémas électriques
A l'aise sur les outils informatiques (TEAMS - PACK OFFICE)

Savoir être : 
Adaptabilité - Agilité - Polyvalent 
Savoir rendre compte dans un esprit constructif
Maîtrise du français et de l'anglais professionnel
Communiquer de façon claire et précise
Savoir animer une réunion sur son périmètre technique
Gestion des priorités",CDI,"{'libelle': '69 - LYON 01', 'latitude': 45.758, 'longitude': 4.835, 'codePostal': '69001', 'commune': '69381'}","{'nom': 'ALPHADOZ', 'entrepriseAdaptee': False}",Cadre
43,2023-04-19T07:25:34.000Z,2023-04-19T12:38:01.000Z,AUTOMATICIEN (H:F) (H/F),"Votre agence Adequat de Fontenay le Comte recrute pour l'un de ses clients spécialisés dans le domaine de la mécanique de précision, un Automaticien (F/H) en CDI.
Rattaché au Responsable Service Automatisme, vous aurez pour principale mission, la réalisation d'études de développement de systèmes industriels automatisés à partir d'un cahier des charges client et des normes en vigueur. Programmation, et mise en service des machines neuves ou rétrofitées. Pour mener à bien cette mission vous devrez intervenir sur les activités suivantes : 

			Etude et programmation  
				- Réalisation de l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation sous la responsabilité des études automatismes selon le cahier des charges client et du dossier technique.
- Conception de l'implantation de matériel et les équipements automatisés
- Déterminer le matériel d'automatisation, logiciel et architecture réseau de l'installation
- Choix des composants et solutions techniques
- Conception, intégration et modification des programmes d'automatisation
- Transfert et contrôle de programme

			
- Gestion de projet 
				- Participer au chiffrage du devis sur la partie automatisme
- Participation aux réunions de conception préliminaire et détaillée, et animer son activité
- Enregistrement sous GPAO de la nomenclature automatisme
- Participer à la préparation de l'approvisionnement
- Respecter les jalons de fin d'études
- Suivi et bilan du projet

			
- Mise en service  
				- Installation des automates, IHM, CN, Robot, capteurs, boucles de régulation sur les équipements
- Participer à l'installation complète de l'installation
- Réalisation des dossiers d'équipements de l'automates
- Formation des opérateurs et du service maintenance client

			
- Maintenance des machines
				- Participation au montage et ajustage des pièces et sous-ensembles en atelier et/ou chez client
- Identification des dysfonctionnements, réparation ou remplacement si nécessaire

			
- Reporting 
- Qualité 
				- Participer au management de la qualité
- Respecter les consignes de sécurité

			
Vous possédez un BAC+2 à +5 dans le domaine de l'automatisme et/ou une expérience significative sur le même type d'activité en tant qu'automaticien.
Vous maitrisez la programmation des automates, commandes numérique, interfaces hommes ou machine, robot (SIEMENS, NUM, SCHNEIDER, FANUC, ABB, STAUBLI, REXROTH) ainsi que les techniques de diagnostic des défaillances en automatisme.
Vous êtes à l'aise dans la gestion de projet, des temps, planning et dans la relation client.
Horaires : Du lundi au vendredi sur une base de 35 heures.
Salaire : Selon profil et expérience
Déplacement : France et Etranger (quand installation des automates)

Pour toutes questions, vous pouvez nous joindre au *** (voir postuler)
Rejoignez le groupe Adéquat, l'acteur le plus dynamique du secteur de l'emploi depuis 3 ans !
Adéquat, Simplement pour vous !
Nos clients sont informés des mesures de protection contre le COVID19 et s'engagent à les mettre en œuvre pour l'ensemble des salariés.",CDI,"{'libelle': '85 - FONTENAY LE COMTE', 'latitude': 46.459124, 'longitude': -0.794252, 'codePostal': '85200', 'commune': '85092'}","{'nom': 'ADEQUAT INTERIM', 'description': ""Décroche le job Adéquat !\nAdéquat t'accompagne dans ta recherche d'emploi (intérim, CDD, CDI) et te propose + de 10 000 jobs dans tous les secteurs d'activité : Industrie, Logistique, Transport, Bâtiment Travaux Public, Tertiaire \nAdéquat c'est + de 300 agences en France et une identité forte : simplicité et proximité\nRetrouve toutes nos offres d'emplois sur lejobadequat.com et candidate facilement ou inscris-toi à notre CVthèque pour être visible auprès de nos 1200 recruteurs !"", 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/iYRUtJ1AI8KX7N7GZWXRK3Gp5YEcei6j.png', 'url': 'https://www.lejobadequat.com', 'entrepriseAdaptee': False}",Technicien
44,2023-04-18T10:54:09.000Z,2023-04-18T13:57:31.000Z,Superviseur Automatisme (H/F),"Trouver un premier emploi ou être ouvert à de nouveau challenge professionnel, c'est votre objectif.

Notre engagement: permettre à des entreprises de trouver des talents comme vous.

Nous appliquons des méthodes simples et efficaces pour vous mener au succès.

 

Avec Talent, cabinet spécialisé profils Experts et Cadres , recherche pour son client, situé sur Clermont-Ferrand un Technicien de maintenance F/H en CDI.

 

Qui recrute ?

Avec 23 000 collaborateurs présents sur les cinq continents, notre client est un acteur mondial dans le domaine du caoutchouc et des polymères industriels. Le Groupe est spécialisé dans la fabrication des solutions d'étanchéité, antivibratoires industrielles, de systèmes de tuyauterie ou de pneus.

Le site Clermontois est le plus important site Français du Groupe avec plus de 500 collaborateurs.

Vos missions
Vous animez votre e quipe en assurant le maintien et l'optimisation des e quipements industriels. Vous e tes reconnu comme re fe rent dans votre spe cialite .

ACTIVITES

- Assister le responsable de maintenance a  la de finition des besoins (mate riel, humain,...) - De finir, organiser, suivre et contro ler les actions lie es a  la maintenance - Encadrer, coordonner et e valuer son e quipe - Participer aux re unions QRQC atelier

- Planifier et organiser des activite s techniques

- Suivre et contro ler l'utilisation des moyens / des e quipements relatifs a  son domaine d'activite 

- Cre er, suivre et respecter les standards lie s a  son domaine d'activite  - Participer a  l'e laboration du plan pre ventif des installations - Participer a  l'e laboration et au suivi du budget maintenance - Optimiser les cou ts de maintenance

- Assister les techniciens de panneurs - Cre er les nomenclatures machines et codes articles (pie ce de rechange ...) - Accueillir et suivre les stagiaires et alternants

Votre profil
BTS / DUT ou Licence en maintenance Au minimum 2 ans d'expe rience professionnelle dans le domaine de la maintenance et dans son domaine de re fe rence impe rative Une premie re expe rience en management est souhaitable.

 

L'entreprise propose un CDI- salaire sur 13 mois- entre 33 et 42k€ selon profil, prime d'ancienneté, intéressement.

 

N'hésitez pas à contacter Tiffany SOURI par téléphone ou par mail 0783127375/contact@avec-talent.com.",CDI,"{'libelle': '63 - CLERMONT FERRAND', 'latitude': 45.786671, 'longitude': 3.107042, 'codePostal': '63000', 'commune': '63113'}","{'nom': 'AVEC TALENT RECRUTEMENT', 'description': 'Trouver un premier emploi ou être ouvert à un nouveau challenge professionnel, c est votre objectif.\nNotre engagement: permettre à des entreprises de trouver des talents comme vous.\nNous appliquons des méthodes simples et efficaces pour vous mener au succès.', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/qKvh6IFhgzrHjtRPHNIX8hHyBF7xBTvE.png', 'url': 'http://www.avec-talent.com', 'entrepriseAdaptee': False}",Agent de maîtrise
45,2023-04-17T17:11:37.000Z,2023-04-23T21:28:08.000Z,ELECTRICIEN-NE AUTOMATICIEN-NE INDUSTRIEL (H/F),"Industrie fondée en 1894, nous mettons au service d'une clientèle diversifiée sur des marchés porteurs et de niche (accessoires de luxe, connectique, aéronautique, spatial et défense ) notre expertise dans la fabrication d'alliages de cuivre de haute qualité.
Véritable patrimoine industriel Sarthois, nous transmettons avec passion depuis près de 130 ans notre savoir-faire de génération en génération.
Ouvrant nos postes avant tout à des personnes motivées, nous offrons une chance à celles et ceux qui souhaitent nous rejoindre en leur offrant un véritable accompagnement et parcours de formation ainsi que des conditions attractives et motivantes (fixe + primes, participation, intéressement ).
Soucieuse de notre environnement, nous appartenons à un Groupe Européen dédié à l'économie circulaire. 
Ainsi, nos matières premières sont issues essentiellement du recyclage et nous réutilisons nos rebuts et ceux de nos clients.
Dans le cadre de notre développement, notre service maintenance est à la recherche d'un-e ELECTRICIEN-NE AUTOMATICIEN-NE INDUSTRIEL.

Rattaché-e à notre Responsable Maintenance, au sein d'une équipe de 10 personnes, vous travaillez en binôme afin d'assurer l'entretien, la mise à niveau ou la rénovation des équipements et installations de production. 

Plus particulièrement et dans le respect des normes d'hygiène, de sécurité et d'environnement, vous : 

-	Intervenez sur le dépannage des installations électriques et des automates et diagnostiquez les dysfonctionnements 
-	Déterminez les solutions techniques et les conditions de remise en état de l'équipement (changement, réparation, réglage )
-	Participez au contrôle et la prévention des risques de pannes récurrentes
-	Menez à bien les interventions d'urgence
-	Veillez à l'application des normes de conformité (sécurité, qualité, environnement) 
-	Prenez part aux projets d'investissements
-	Assistez et formez les usagers si besoin 
-	Renseignez les supports de suivi d'intervention et transmettez les informations nécessaires 
-	Contribuez à la création des modes opératoires de maintenance

De formation technique et bénéficiant des habilitations électriques Basse et Haute Tension (HC-H1V), vous justifiez idéalement d'une expérience réussie sur une fonction similaire et vous possédez des compétences en électrique, électrotechnique et automatisme.
Nous recherchons avant tout une personne motivée, dotée d'une forte proactivité.
« Bricoleur-se dans l'âme », vous faites preuve de réactivité pour analyser les problèmes techniques, identifier les causes et trouver des solutions adaptées. Autonome et doté-e d'une aisance relationnelle, vous savez vous intégrer rapidement au sein d'une équipe dynamique et pluridisciplinaire.
Nous vous offrons un poste à pourvoir dans le cadre d'un CDI, en travail posté (2x8) dans un environnement bienveillant mettant à votre disposition les moyens nécessaires à la bonne réussite de vos missions.
Vous rejoignez une fonderie historique en pleine croissance, se modernisant continuellement pour satisfaire une clientèle exigeante et prestigieuse.",CDI,"{'libelle': '72 - BOESSE LE SEC', 'latitude': 48.131655, 'longitude': 0.563981, 'codePostal': '72400', 'commune': '72038'}","{'nom': 'DENIS BARAN RECRUTEMENT', 'entrepriseAdaptee': False}",Technicien
46,2023-04-17T16:55:53.000Z,2023-04-27T02:18:59.000Z,Automaticien   (H/F),"L'agence RAS INTERIM de Saint-Laurent Blangy, recherche pour l'un de ses clients sur le secteur d'Arras, un AUTOMATICIEN H/F.

Missions :
-Analyse les opérations à effectuer, en lien avec le Chef de projets
-Analyse le cahier des charges qui prend en compte les besoins exprimés par les clients et par les chefs de
projets
-Réalise la programmation des automates, la supervision et la configuration des réseaux
-Réalise les essais et se rend sur chantier pour la mise en route des projets
-Réalise des petites modifications électriques si nécessaire
-Réalise les essais des armoires
-Assure si besoin les astreintes après mise en route des projets
-Etablit la documentation technique (manuel opérateur, listes E/S  )
-Etablit le reporting auprès de son chef de projets

Compétences requises :

-Maîtrise les techniques de l'informatique industrielle

-Expertise technique dans son métier
-Maîtrise l'anglais technique
-Capacité d'alerte
-Autonomie et initiative
-Veille technologique

-Expérience acquise dans le milieu industriel

-Compétences sur automates SIEMENS/SCHNEIDER et/ou ROCKWELL




Déplacements ponctuels en France et à l'étranger.




Salaire :

30-45K€ selon profil",MIS,"{'libelle': '62 - DAINVILLE', 'latitude': 50.279681, 'longitude': 2.726093, 'codePostal': '62000', 'commune': '62263'}","{'nom': 'RAS 340', 'description': 'Bienvenue chez R.A.S Arras !\n\nR.A.S Intérim : c est l entreprise pionnière du 24h/24 et 7j/7, votre partenaire disponible, réactif et proche de vous grâce à son réseau national.\n\nVotre équipe d ARR.A.S est à votre écoute et vous accueille du lundi au vendredi de 8h30 à 12h et de 14h à 17h50.', 'url': 'https://www.ras-interim.fr/arras/?utm_source=gmb', 'entrepriseAdaptee': False}","Ouvrier qualifié (P1,P2)"
47,2023-04-17T14:34:24.000Z,2023-04-19T00:41:27.000Z,Apprenti technicien automatisme et robotique H/F,"Nous recrutons un/une apprenti(e)  technicien/ne en robotique et automatisme en contrat d'apprentissage, de niveau BAC + 3 (licence pro ou équivalent)

OBJECTIFS:
Savoir effectuer l'analyse fonctionnelle d'un système automatisé et/ou incluant un robot
Savoir déterminer les constituants de l'automatisme (l'automate, ses coupleurs et cartes, ses extensions,  )
Savoir déterminer les besoins en robotique
Savoir réaliser les programmes des automates (Schneider, Siemens, Rockwell...) et/ou robots (incluant la gestion des réseaux)
Savoir dépanner et proposer des améliorations en prenant en compte les aspects QSE..
(Liste non exhaustive)

PROFIL:
Vous souhaitez compléter votre cursus par un BAC + 3 type licence professionnelle AUTOMATISME ET ROBOTIQUE ou équivalent, en contrat d'apprentissage.
Vous êtes idéalement Titulaire d'un BAC + 2 technique incluant de l'automatisme et/ou de la robotique.
Vous êtes rigoureux et autonome, proactif et curieux.

Pour postuler, merci de vous rendre sur le Forum Emploi et Alternance à Dol'EXPO le 3/05/2023 à partir de 14h",CDD,"{'libelle': '39 - DOLE', 'latitude': 47.077973, 'longitude': 5.493722, 'codePostal': '39100', 'commune': '39198'}",{'entrepriseAdaptee': False},Technicien
